,Week,Sales,HoursUsed,MobCO,MobDI,MobDT,Mobile Sales,3rdParty,NormDT,CarryO,DineIn,Catering,WeekYr,WeekNum,Productivity,Time
19,20,100793.26,1790.56,148,0,13383,13531,1934.0,85237,0,0,90,2020,12,56.291473058707886,During
20,21,88279.11,1357.32,0,0,12884,12884,2230.0,72932,0,0,243,2020,13,65.03927592608964,During
21,22,90827.94,1388.55,0,0,16095,16095,2727.0,71890,0,0,116,2020,14,65.41207734687264,During
22,23,94278.31,1378.33,0,0,18836,18836,3254.0,71400,0,0,793,2020,15,68.40039032742521,During
23,24,103772.89,1499.16,0,0,20381,20381,4247.0,78919,0,0,245,2020,16,69.22069025320846,During
24,25,106622.8,1849.18,0,0,20985,20985,4771.0,80194,0,0,673,2020,17,57.659503131117575,After
25,26,116115.88,1800.25,0,0,23454,23454,4913.0,86941,0,0,808,2020,18,64.49986390779058,After
26,27,119367.33,1839.55,0,0,22477,22477,4900.0,91275,0,0,714,2020,19,64.88941860781169,After
27,28,123036.22,1845.0,0,0,25137,25137,4072.0,93427,0,0,400,2020,20,66.68629810298103,After
28,29,149466.31,1920.1,0,0,33563,33563,8749.0,105435,0,0,1719,2020,21,77.84298213634706,After
29,30,122338.48,1896.23,0,0,23232,23232,7125.0,90582,0,0,1401,2020,22,64.51668837641003,After
30,31,129292.63,1932.68,0,0,25624,25624,3330.0,99992,0,0,348,2020,23,66.8981052217646,After
31,32,131070.01,1966.86,0,0,25979,25979,4467.0,99792,0,0,824,2020,24,66.63921682275301,After
32,33,132964.01,1948.36,0,0,25524,25524,4287.0,101381,0,0,1773,2020,25,68.24406680490259,After
33,34,132722.66,1911.43,0,0,26045,26045,5430.0,99476,0,0,1773,2020,26,69.43631731216942,After
34,35,116272.0,1778.36,0,0,22888,22888,4211.0,88426,0,0,748,2020,27,65.3815875300839,After
35,36,124971.0,1875.53,0,0,26298,26298,5662.0,92907,0,0,100,2020,28,66.63236525142227,After
36,37,133955.0,1985.11,0,0,27177,27177,5131.0,101155,0,0,493,2020,29,67.479887764406,After
37,38,130549.3,1960.55,0,0,26903,26903,4476.0,97431,0,0,1740,2020,30,66.58810027798322,After
38,39,131818.78,2019.43,0,0,28376,28376,5862.0,95293,0,0,2287,2020,31,65.2752410333609,After
39,40,115369.18,1823.85,0,0,25080,25080,5081.0,84487,0,0,716,2020,32,63.25584889108205,After
40,41,127170.72,1928.58,0,0,26978,26978,4824.0,94523,0,0,846,2020,33,65.94008026630993,After
41,42,127623.08,1832.75,0,0,25964,25964,4744.0,94515,0,0,2398,2020,34,69.634745600873,After
42,43,134073.92,1901.85,0,0,28793,28793,5615.0,95982,0,0,3685,2020,35,70.49657964613404,After
43,44,125501.48,1896.9,0,0,27318,27318,5110.0,92186,0,0,889,2020,36,66.16135800516632,After
44,45,116152.83,1780.83,0,0,24254,24254,4804.0,85645,0,0,1450,2020,37,65.22398544498914,After
45,46,120669.77,1731.2,0,0,24987,24987,5191.0,89697,0,0,796,2020,38,69.7029632624769,After
46,47,122295.51,1765.83,0,0,25101,25101,5485.0,90117,0,0,1593,2020,39,69.25667249961775,After
47,48,121318.03,1783.36,0,0,23996,23996,5091.0,90894,0,0,1337,2020,40,68.02778463125786,After
48,49,123920.31,1731.93,0,0,25100,25100,5701.0,90887,0,0,2202,2020,41,71.55041485510384,After
49,50,124976.25,1835.76,0,0,26344,26344,6082.0,91554,0,0,995,2020,42,68.07875212446072,After
50,51,126842.01,1812.96,0,0,24106,24106,6313.0,92175,0,0,4248,2020,43,69.9640422292825,After
51,52,125271.19,1850.8,0,0,24233,24233,6038.0,89845,0,0,5156,2020,44,67.68488761616598,After
